x,y,dx,dy
4,7.46072E+11,0.36,4.93695E+09
1.96,4.19666E+11,0.2184,2.77703E+09
1.21,2.68586E+11,0.1584,1.77730E+09
3.24,6.70057E+11,0.3096,4.55687E+09
1.69,3.76907E+11,0.1976,2.56324E+09
1,2.41221E+11,0.14,1.64047E+09
2.56,5.98467E+11,0.2624,4.19892E+09
1.44,3.36637E+11,0.1776,2.36189E+09
0.81,2.15448E+11,0.1224,1.51161E+09
6.25,1.16285E+12,0.5,8.52905E+09
4,7.44313E+11,0.36,1.87549E+10
2.56,4.76360E+11,0.2624,1.20031E+10
6.76,1.18245E+12,0.5304,3.19343E+10
3.61,6.65130E+11,0.3344,1.79630E+10
2.25,4.25683E+11,0.24,1.14963E+10
5.29,9.97444E+11,0.4416,3.00842E+10
2.89,5.61062E+11,0.2856,1.69224E+10
1.69,3.59080E+11,0.1976,1.08303E+10
4.41,8.36566E+11,0.3864,2.84754E+10
2.25,4.70568E+11,0.24,1.60174E+10
1.44,3.01164E+11,0.1776,1.02512E+10
4,7.92325E+11,0.36,2.80330E+10
2.25,4.45683E+11,0.24,1.57686E+10
1.21,2.85237E+11,0.1584,1.00919E+10
