Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	0,11	4,0	5,9	5,0
0,04	0,12	4,0	5,9	5,0
0,07	0,12	4,0	5,9	5,0
0,09	0,12	4,0	5,9	5,0
0,12	0,14	4,0	5,9	5,0
0,14	0,15	4,0	5,9	5,0
0,17	0,15	4,0	5,9	5,0
0,19	0,16	4,0	5,9	5,0
0,21	0,18	4,0	5,9	5,0
0,24	0,19	4,0	5,9	5,0
0,26	0,19	4,0	5,9	5,0
0,29	0,20	4,0	5,9	5,0
0,31	0,22	4,0	5,9	5,0
0,34	0,23	4,0	5,9	5,0
0,36	0,23	4,0	5,9	5,0
0,39	0,22	4,0	5,9	5,0
0,41	0,23	4,0	5,9	5,0
0,43	0,24	4,0	5,9	5,0
0,46	0,24	4,0	5,9	5,0
0,48	0,24	4,0	5,9	5,0
0,51	0,25	4,0	5,9	5,0
0,53	0,26	4,0	5,9	5,0
0,56	0,26	4,0	5,9	5,0
0,58	0,26	4,0	5,9	5,0
0,61	0,27	4,0	5,9	5,0
0,63	0,28	4,0	5,9	5,0
0,65	0,28	4,0	5,9	5,0
0,68	0,28	4,0	5,9	5,0
0,70	0,29	4,0	5,9	5,0
0,73	0,31	4,0	5,9	5,0
0,75	0,30	4,0	5,9	5,0
0,78	0,30	4,0	5,9	5,0
0,80	0,31	4,0	5,9	5,0
0,83	0,32	4,0	5,9	5,0
0,85	0,32	4,0	5,9	5,0
0,87	0,32	4,0	5,9	5,0
0,90	0,33	4,0	5,9	5,0
0,92	0,34	4,0	5,9	5,0
0,95	0,33	4,0	5,9	5,0
0,97	0,33	4,0	5,9	5,0
1,00	0,35	4,0	5,9	5,0
1,02	0,36	4,0	5,9	5,0
1,05	0,36	4,0	5,9	5,0
1,07	0,36	4,0	5,9	5,0
1,09	0,36	4,0	5,9	5,0
1,12	0,37	4,0	5,9	5,0
1,14	0,37	4,0	5,9	5,0
1,17	0,37	4,0	5,9	5,0
1,19	0,38	4,0	5,9	5,0
1,22	0,39	4,0	5,9	5,0
1,24	0,39	4,0	5,9	5,0
1,26	0,39	4,0	5,9	5,0
1,29	0,40	4,0	5,9	5,0
1,31	0,40	4,0	5,9	5,0
1,34	0,40	4,0	5,9	5,0
1,36	0,40	4,0	5,9	5,0
1,39	0,41	4,0	5,9	5,0
1,41	0,42	4,0	5,9	5,0
1,44	0,42	4,0	5,9	5,0
1,46	0,42	4,0	5,9	5,0
1,48	0,43	4,0	5,9	5,0
1,51	0,44	4,0	5,9	5,0
1,53	0,43	4,0	5,9	5,0
1,56	0,44	4,0	5,9	5,0
1,58	0,45	4,0	5,9	5,0
1,61	0,45	4,0	5,9	5,0
1,63	0,45	4,0	5,9	5,0
1,66	0,45	4,0	5,9	5,0
1,68	0,46	4,0	5,9	5,0
1,70	0,46	4,0	5,9	5,0
1,73	0,46	4,0	5,9	5,0
1,75	0,47	4,0	5,9	5,0
1,78	0,48	4,0	5,9	5,0
1,80	0,48	4,0	5,9	5,0
1,83	0,48	4,0	5,9	5,0
1,85	0,48	4,0	5,9	5,0
1,88	0,49	4,0	5,9	5,0
1,90	0,49	4,0	5,9	5,0
1,92	0,49	4,0	5,9	5,0
1,95	0,50	4,0	5,9	5,0
1,97	0,51	4,0	5,9	5,0
2,00	0,51	4,0	5,9	5,0
2,02	0,51	4,0	5,9	5,0
2,05	0,51	4,0	5,9	5,0
2,07	0,52	4,0	5,9	5,0
2,10	0,52	4,0	5,9	5,0
2,12	0,51	4,0	5,9	5,0
2,14	0,52	4,0	5,9	5,0
2,17	0,52	4,0	5,9	5,0
2,19	0,53	4,0	5,9	5,0
2,22	0,53	4,0	5,9	5,0
2,24	0,53	4,0	5,9	5,0
2,27	0,54	4,0	5,9	5,0
2,29	0,55	4,0	5,9	5,0
2,31	0,55	4,0	5,9	5,0
2,34	0,55	4,0	5,9	5,0
2,36	0,55	4,0	5,9	5,0
2,39	0,56	4,0	5,9	5,0
2,41	0,57	4,0	5,9	5,0
2,44	0,56	4,0	5,9	5,0
2,46	0,57	4,0	5,9	5,0
2,49	0,58	4,0	5,9	5,0
2,51	0,58	4,0	5,9	5,0
2,53	0,58	4,0	5,9	5,0
2,56	0,59	4,0	5,9	5,0
2,58	0,60	4,0	5,9	5,0
2,61	0,60	4,0	5,9	5,0
2,63	0,60	4,0	5,9	5,0
2,66	0,60	4,0	5,9	5,0
2,68	0,61	4,0	5,9	5,0
2,71	0,62	4,0	5,9	5,0
2,73	0,61	4,0	5,9	5,0
2,75	0,62	4,0	5,9	5,0
2,78	0,63	4,0	5,9	5,0
2,80	0,63	4,0	5,9	5,0
2,83	0,64	4,0	5,9	5,0
2,85	0,63	4,0	5,9	5,0
2,88	0,63	4,0	5,9	5,0
2,90	0,64	4,0	5,9	5,0
2,93	0,64	4,0	5,9	5,0
2,95	0,64	4,0	5,9	5,0
2,97	0,64	4,0	5,9	5,0
3,00	0,65	4,0	5,9	5,0
3,02	0,66	4,0	5,9	5,0
3,05	0,65	4,0	5,9	5,0
3,07	0,65	4,0	5,9	5,0
3,10	0,66	4,0	5,9	5,0
3,12	0,66	4,0	5,9	5,0
3,15	0,66	4,0	5,9	5,0
3,17	0,66	4,0	5,9	5,0
3,19	0,68	4,0	5,9	5,0
3,22	0,68	4,0	5,9	5,0
3,24	0,67	4,0	5,9	5,0
3,27	0,67	4,0	5,9	5,0
3,29	0,68	4,0	5,9	5,0
3,32	0,68	4,0	5,9	5,0
3,34	0,67	4,0	5,9	5,0
3,36	0,68	4,0	5,9	5,0
3,39	0,69	4,0	5,9	5,0
3,41	0,69	4,0	5,9	5,0
3,44	0,68	4,0	5,9	5,0
3,46	0,69	4,0	5,9	5,0
3,49	0,70	4,0	5,9	5,0
3,51	0,70	4,0	5,9	5,0
3,54	0,70	4,0	5,9	5,0
3,56	0,70	4,0	5,9	5,0
3,58	0,71	4,0	5,9	5,0
3,61	0,72	4,0	5,9	5,0
3,63	0,71	4,0	5,9	5,0
3,66	0,72	4,0	5,9	5,0
3,68	0,73	4,0	5,9	5,0
3,71	0,73	4,0	5,9	5,0
3,73	0,72	4,0	5,9	5,0
3,76	0,73	4,0	5,9	5,0
3,78	0,74	4,0	5,9	5,0
3,80	0,73	4,0	5,9	5,0
3,83	0,73	4,0	5,9	5,0
3,85	0,74	4,0	5,9	5,0
3,88	0,75	4,0	5,9	5,0
3,90	0,74	4,0	5,9	5,0
3,93	0,74	4,0	5,9	5,0
3,95	0,75	4,0	5,9	5,0
3,98	0,76	4,0	5,9	5,0
4,00	0,76	4,0	5,9	5,0
4,02	0,75	4,0	5,9	5,0
4,05	0,76	4,0	5,9	5,0
4,07	0,77	4,0	5,9	5,0
4,10	0,76	4,0	5,9	5,0
4,12	0,76	4,0	5,9	5,0
4,15	0,77	4,0	5,9	5,0
4,17	0,78	4,0	5,9	5,0
4,20	0,77	4,0	5,9	5,0
4,22	0,77	4,0	5,9	5,0
4,24	0,78	4,0	5,9	5,0
4,27	0,78	4,0	5,9	5,0
4,29	0,78	4,0	5,9	5,0
4,32	0,78	4,0	5,9	5,0
4,34	0,79	4,0	5,9	5,0
4,37	0,80	4,0	5,9	5,0
4,39	0,79	4,0	5,9	5,0
4,42	0,79	4,0	5,9	5,0
4,44	0,80	4,0	5,9	5,0
4,46	0,80	4,0	5,9	5,0
4,49	0,80	4,0	5,9	5,0
4,51	0,79	4,0	5,9	5,0
4,54	0,80	4,0	5,9	5,0
4,56	0,81	4,0	5,9	5,0
4,59	0,81	4,0	5,9	5,0
4,61	0,81	4,0	5,9	5,0
4,63	0,81	4,0	5,9	5,0
4,66	0,81	4,0	5,9	5,0
4,68	0,83	4,0	5,9	5,0
4,71	0,82	4,0	5,9	5,0
4,73	0,82	4,0	5,9	5,0
4,76	0,82	4,0	5,9	5,0
4,78	0,83	4,0	5,9	5,0
4,81	0,83	4,0	5,9	5,0
4,83	0,83	4,0	5,9	5,0
4,85	0,83	4,0	5,9	5,0
4,88	0,84	4,0	5,9	5,0
4,90	0,84	4,0	5,9	5,0
4,93	0,84	4,0	5,9	5,0
4,95	0,85	4,0	5,9	5,0
4,98	0,85	4,0	5,9	5,0
5,00	0,84	4,0	5,9	5,0
5,03	0,84	4,0	5,9	5,0
5,05	0,85	4,0	5,9	5,0
5,07	0,86	4,0	5,9	5,0
5,10	0,86	4,0	5,9	5,0
5,12	0,86	4,0	5,9	5,0
5,15	0,87	4,0	5,9	5,0
5,17	0,87	4,0	5,9	5,0
5,20	0,87	4,0	5,9	5,0
5,22	0,86	4,0	5,9	5,0
5,25	0,87	4,0	5,9	5,0
5,27	0,87	4,0	5,9	5,0
5,29	0,88	4,0	5,9	5,0
5,32	0,88	4,0	5,9	5,0
5,34	0,87	4,0	5,9	5,0
5,37	0,88	4,0	5,9	5,0
5,39	0,89	4,0	5,9	5,0
5,42	0,89	4,0	5,9	5,0
5,44	0,89	4,0	5,9	5,0
5,47	0,89	4,0	5,9	5,0
5,49	0,90	4,0	5,9	5,0
5,51	0,90	4,0	5,9	5,0
5,54	0,89	4,0	5,9	5,0
5,56	0,90	4,0	5,9	5,0
5,59	0,91	4,0	5,9	5,0
5,61	0,90	4,0	5,9	5,0
5,64	0,90	4,0	5,9	5,0
5,66	0,91	4,0	5,9	5,0
5,68	0,92	4,0	5,9	5,0
5,71	0,91	4,0	5,9	5,0
5,73	0,91	4,0	5,9	5,0
5,76	0,92	4,0	5,9	5,0
5,78	0,92	4,0	5,9	5,0
5,81	0,92	4,0	5,9	5,0
5,83	0,92	4,0	5,9	5,0
5,86	0,93	4,0	5,9	5,0
5,88	0,94	4,0	5,9	5,0
5,90	0,93	4,0	5,9	5,0
5,93	0,92	4,0	5,9	5,0
5,95	0,93	4,0	5,9	5,0
5,98	0,94	4,0	5,9	5,0
6,00	0,93	4,0	5,9	5,0
6,03	0,93	4,0	5,9	5,0
6,05	0,94	4,0	5,9	5,0
6,08	0,95	4,0	5,9	5,0
6,10	0,94	4,0	5,9	5,0
6,12	0,93	4,0	5,9	5,0
6,15	0,95	4,0	5,9	5,0
6,17	0,95	4,0	5,9	5,0
6,20	0,94	4,0	5,9	5,0
6,22	0,94	4,0	5,9	5,0
6,25	0,95	4,0	5,9	5,0
6,27	0,96	4,0	5,9	5,0
6,30	0,96	4,0	5,9	5,0
6,32	0,95	4,0	5,9	5,0
6,34	0,97	4,0	5,9	5,0
6,37	0,97	4,0	5,9	5,0
6,39	0,96	4,0	5,9	5,0
6,42	0,96	4,0	5,9	5,0
6,44	0,97	4,0	5,9	5,0
