Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	0,07	7,0	5,8	5,5
0,04	0,07	7,0	5,8	5,5
0,07	0,07	7,0	5,8	5,5
0,09	0,07	7,0	5,8	5,5
0,12	0,08	7,0	5,8	5,5
0,14	0,08	7,0	5,8	5,5
0,17	0,07	7,0	5,8	5,5
0,19	0,08	7,0	5,8	5,5
0,21	0,09	7,0	5,8	5,5
0,24	0,09	7,0	5,8	5,5
0,26	0,09	7,0	5,8	5,5
0,29	0,09	7,0	5,8	5,5
0,31	0,10	7,0	5,8	5,5
0,34	0,10	7,0	5,8	5,5
0,36	0,10	7,0	5,8	5,5
0,39	0,10	7,0	5,8	5,5
0,41	0,10	7,0	5,8	5,5
0,43	0,10	7,0	5,8	5,5
0,46	0,10	7,0	5,8	5,5
0,48	0,10	7,0	5,8	5,5
0,51	0,11	7,0	5,8	5,5
0,53	0,11	7,0	5,8	5,5
0,56	0,11	7,0	5,8	5,5
0,58	0,11	7,0	5,8	5,5
0,61	0,11	7,0	5,8	5,5
0,63	0,11	7,0	5,8	5,5
0,65	0,11	7,0	5,8	5,5
0,68	0,10	7,0	5,8	5,5
0,70	0,11	7,0	5,8	5,5
0,73	0,11	7,0	5,8	5,5
0,75	0,11	7,0	5,8	5,5
0,78	0,11	7,0	5,8	5,5
0,80	0,12	7,0	5,8	5,5
0,83	0,12	7,0	5,8	5,5
0,85	0,12	7,0	5,8	5,5
0,87	0,11	7,0	5,8	5,5
0,90	0,12	7,0	5,8	5,5
0,92	0,12	7,0	5,8	5,5
0,95	0,12	7,0	5,8	5,5
0,97	0,12	7,0	5,8	5,5
1,00	0,13	7,0	5,8	5,5
1,02	0,13	7,0	5,8	5,5
1,05	0,12	7,0	5,8	5,5
1,07	0,12	7,0	5,8	5,5
1,09	0,12	7,0	5,8	5,5
1,12	0,12	7,0	5,8	5,5
1,14	0,12	7,0	5,8	5,5
1,17	0,11	7,0	5,8	5,5
1,19	0,12	7,0	5,8	5,5
1,22	0,12	7,0	5,8	5,5
1,24	0,11	7,0	5,8	5,5
1,26	0,11	7,0	5,8	5,5
1,29	0,12	7,0	5,8	5,5
1,31	0,12	7,0	5,8	5,5
1,34	0,11	7,0	5,8	5,5
1,36	0,11	7,0	5,8	5,5
1,39	0,11	7,0	5,8	5,5
1,41	0,11	7,0	5,8	5,5
1,44	0,10	7,0	5,8	5,5
1,46	0,10	7,0	5,8	5,5
1,48	0,10	7,0	5,8	5,5
1,51	0,10	7,0	5,8	5,5
1,53	0,10	7,0	5,8	5,5
1,56	0,10	7,0	5,8	5,5
1,58	0,10	7,0	5,8	5,5
1,61	0,10	7,0	5,8	5,5
1,63	0,09	7,0	5,8	5,5
1,66	0,09	7,0	5,8	5,5
1,68	0,09	7,0	5,8	5,5
1,70	0,09	7,0	5,8	5,5
1,73	0,09	7,0	5,8	5,5
1,75	0,09	7,0	5,8	5,5
1,78	0,09	7,0	5,8	5,5
1,80	0,09	7,0	5,8	5,5
1,83	0,09	7,0	5,8	5,5
1,85	0,09	7,0	5,8	5,5
1,88	0,09	7,0	5,8	5,5
1,90	0,09	7,0	5,8	5,5
1,92	0,09	7,0	5,8	5,5
1,95	0,10	7,0	5,8	5,5
1,97	0,10	7,0	5,8	5,5
2,00	0,09	7,0	5,8	5,5
2,02	0,09	7,0	5,8	5,5
2,05	0,10	7,0	5,8	5,5
2,07	0,10	7,0	5,8	5,5
2,10	0,10	7,0	5,8	5,5
2,12	0,10	7,0	5,8	5,5
2,14	0,09	7,0	5,8	5,5
2,17	0,09	7,0	5,8	5,5
2,19	0,10	7,0	5,8	5,5
2,22	0,10	7,0	5,8	5,5
2,24	0,10	7,0	5,8	5,5
2,27	0,10	7,0	5,8	5,5
2,29	0,10	7,0	5,8	5,5
2,31	0,10	7,0	5,8	5,5
2,34	0,10	7,0	5,8	5,5
2,36	0,10	7,0	5,8	5,5
2,39	0,10	7,0	5,8	5,5
2,41	0,11	7,0	5,8	5,5
2,44	0,11	7,0	5,8	5,5
2,46	0,11	7,0	5,8	5,5
2,49	0,12	7,0	5,8	5,5
2,51	0,12	7,0	5,8	5,5
2,53	0,12	7,0	5,8	5,5
2,56	0,12	7,0	5,8	5,5
2,58	0,11	7,0	5,8	5,5
2,61	0,12	7,0	5,8	5,5
2,63	0,12	7,0	5,8	5,5
2,66	0,12	7,0	5,8	5,5
2,68	0,12	7,0	5,8	5,5
2,71	0,12	7,0	5,8	5,5
2,73	0,12	7,0	5,8	5,5
2,75	0,12	7,0	5,8	5,5
2,78	0,12	7,0	5,8	5,5
2,80	0,13	7,0	5,8	5,5
2,83	0,13	7,0	5,8	5,5
2,85	0,12	7,0	5,8	5,5
2,88	0,12	7,0	5,8	5,5
2,90	0,13	7,0	5,8	5,5
2,93	0,13	7,0	5,8	5,5
2,95	0,12	7,0	5,8	5,5
2,97	0,12	7,0	5,8	5,5
3,00	0,13	7,0	5,8	5,5
3,02	0,13	7,0	5,8	5,5
3,05	0,12	7,0	5,8	5,5
3,07	0,12	7,0	5,8	5,5
3,10	0,12	7,0	5,8	5,5
3,12	0,12	7,0	5,8	5,5
3,15	0,11	7,0	5,8	5,5
3,17	0,12	7,0	5,8	5,5
3,19	0,13	7,0	5,8	5,5
3,22	0,13	7,0	5,8	5,5
3,24	0,13	7,0	5,8	5,5
3,27	0,13	7,0	5,8	5,5
3,29	0,14	7,0	5,8	5,5
3,32	0,14	7,0	5,8	5,5
3,34	0,14	7,0	5,8	5,5
3,36	0,15	7,0	5,8	5,5
3,39	0,16	7,0	5,8	5,5
3,41	0,17	7,0	5,8	5,5
3,44	0,17	7,0	5,8	5,5
3,46	0,19	7,0	5,8	5,5
3,49	0,20	7,0	5,8	5,5
3,51	0,21	7,0	5,8	5,5
3,54	0,22	7,0	5,8	5,5
3,56	0,24	7,0	5,8	5,5
3,58	0,25	7,0	5,8	5,5
3,61	0,26	7,0	5,8	5,5
3,63	0,28	7,0	5,8	5,5
3,66	0,30	7,0	5,8	5,5
3,68	0,32	7,0	5,8	5,5
3,71	0,33	7,0	5,8	5,5
3,73	0,34	7,0	5,8	5,5
3,76	0,37	7,0	5,8	5,5
3,78	0,39	7,0	5,8	5,5
3,80	0,39	7,0	5,8	5,5
3,83	0,41	7,0	5,8	5,5
3,85	0,43	7,0	5,8	5,5
3,88	0,45	7,0	5,8	5,5
3,90	0,46	7,0	5,8	5,5
3,93	0,47	7,0	5,8	5,5
3,95	0,50	7,0	5,8	5,5
3,98	0,52	7,0	5,8	5,5
4,00	0,53	7,0	5,8	5,5
4,02	0,54	7,0	5,8	5,5
4,05	0,56	7,0	5,8	5,5
4,07	0,58	7,0	5,8	5,5
4,10	0,59	7,0	5,8	5,5
4,12	0,60	7,0	5,8	5,5
4,15	0,63	7,0	5,8	5,5
4,17	0,64	7,0	5,8	5,5
4,20	0,65	7,0	5,8	5,5
4,22	0,66	7,0	5,8	5,5
4,24	0,69	7,0	5,8	5,5
4,27	0,70	7,0	5,8	5,5
4,29	0,70	7,0	5,8	5,5
4,32	0,71	7,0	5,8	5,5
4,34	0,73	7,0	5,8	5,5
4,37	0,75	7,0	5,8	5,5
4,39	0,75	7,0	5,8	5,5
4,42	0,76	7,0	5,8	5,5
4,44	0,78	7,0	5,8	5,5
4,46	0,80	7,0	5,8	5,5
4,49	0,80	7,0	5,8	5,5
4,51	0,80	7,0	5,8	5,5
4,54	0,83	7,0	5,8	5,5
4,56	0,84	7,0	5,8	5,5
4,59	0,85	7,0	5,8	5,5
4,61	0,86	7,0	5,8	5,5
4,63	0,86	7,0	5,8	5,5
4,66	0,88	7,0	5,8	5,5
4,68	0,89	7,0	5,8	5,5
4,71	0,90	7,0	5,8	5,5
4,73	0,91	7,0	5,8	5,5
4,76	0,93	7,0	5,8	5,5
4,78	0,94	7,0	5,8	5,5
4,81	0,93	7,0	5,8	5,5
4,83	0,95	7,0	5,8	5,5
4,85	0,97	7,0	5,8	5,5
4,88	0,98	7,0	5,8	5,5
4,90	0,98	7,0	5,8	5,5
4,93	0,99	7,0	5,8	5,5
4,95	1,00	7,0	5,8	5,5
4,98	1,02	7,0	5,8	5,5
5,00	1,01	7,0	5,8	5,5
5,03	1,02	7,0	5,8	5,5
5,05	1,04	7,0	5,8	5,5
5,07	1,05	7,0	5,8	5,5
5,10	1,05	7,0	5,8	5,5
5,12	1,05	7,0	5,8	5,5
5,15	1,07	7,0	5,8	5,5
5,17	1,08	7,0	5,8	5,5
5,20	1,08	7,0	5,8	5,5
5,22	1,09	7,0	5,8	5,5
5,25	1,10	7,0	5,8	5,5
5,27	1,11	7,0	5,8	5,5
5,29	1,13	7,0	5,8	5,5
5,32	1,13	7,0	5,8	5,5
5,34	1,14	7,0	5,8	5,5
5,37	1,15	7,0	5,8	5,5
5,39	1,16	7,0	5,8	5,5
5,42	1,17	7,0	5,8	5,5
5,44	1,17	7,0	5,8	5,5
5,47	1,18	7,0	5,8	5,5
5,49	1,19	7,0	5,8	5,5
5,51	1,19	7,0	5,8	5,5
5,54	1,20	7,0	5,8	5,5
5,56	1,22	7,0	5,8	5,5
5,59	1,23	7,0	5,8	5,5
5,61	1,23	7,0	5,8	5,5
5,64	1,23	7,0	5,8	5,5
5,66	1,26	7,0	5,8	5,5
5,68	1,26	7,0	5,8	5,5
5,71	1,26	7,0	5,8	5,5
5,73	1,27	7,0	5,8	5,5
5,76	1,29	7,0	5,8	5,5
5,78	1,30	7,0	5,8	5,5
5,81	1,29	7,0	5,8	5,5
5,83	1,30	7,0	5,8	5,5
5,86	1,32	7,0	5,8	5,5
5,88	1,33	7,0	5,8	5,5
5,90	1,33	7,0	5,8	5,5
5,93	1,33	7,0	5,8	5,5
5,95	1,35	7,0	5,8	5,5
5,98	1,36	7,0	5,8	5,5
6,00	1,35	7,0	5,8	5,5
6,03	1,36	7,0	5,8	5,5
6,05	1,39	7,0	5,8	5,5
6,08	1,40	7,0	5,8	5,5
6,10	1,39	7,0	5,8	5,5
6,12	1,40	7,0	5,8	5,5
6,15	1,42	7,0	5,8	5,5
6,17	1,43	7,0	5,8	5,5
6,20	1,42	7,0	5,8	5,5
6,22	1,43	7,0	5,8	5,5
6,25	1,45	7,0	5,8	5,5
6,27	1,45	7,0	5,8	5,5
6,30	1,45	7,0	5,8	5,5
6,32	1,46	7,0	5,8	5,5
6,34	1,48	7,0	5,8	5,5
6,37	1,49	7,0	5,8	5,5
6,39	1,49	7,0	5,8	5,5
6,42	1,49	7,0	5,8	5,5
6,44	1,51	7,0	5,8	5,5
