Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	9,86	1,0	5,9	7,0
0,04	9,88	1,0	5,9	7,0
0,07	9,92	1,0	5,9	7,0
0,09	9,92	1,0	5,9	7,0
0,12	9,93	1,0	5,9	7,0
0,14	9,98	1,0	5,9	7,0
0,17	10,03	1,0	5,9	7,0
0,19	10,06	1,0	5,9	7,0
0,21	10,13	1,0	5,9	7,0
0,24	10,24	1,0	5,9	7,0
0,26	10,32	1,0	5,9	7,0
0,29	10,35	1,0	5,9	7,0
0,31	10,42	1,0	5,9	7,0
0,34	10,53	1,0	5,9	7,0
0,36	10,59	1,0	5,9	7,0
0,39	10,62	1,0	5,9	7,0
0,41	10,68	1,0	5,9	7,0
0,43	10,79	1,0	5,9	7,0
0,46	10,85	1,0	5,9	7,0
0,48	10,88	1,0	5,9	7,0
0,51	10,95	1,0	5,9	7,0
0,53	11,06	1,0	5,9	7,0
0,56	11,12	1,0	5,9	7,0
0,58	11,14	1,0	5,9	7,0
0,61	11,21	1,0	5,9	7,0
0,63	11,32	1,0	5,9	7,0
0,65	11,38	1,0	5,9	7,0
0,68	11,41	1,0	5,9	7,0
0,70	11,49	1,0	5,9	7,0
0,73	11,60	1,0	5,9	7,0
0,75	11,67	1,0	5,9	7,0
0,78	11,70	1,0	5,9	7,0
0,80	11,79	1,0	5,9	7,0
0,83	11,89	1,0	5,9	7,0
0,85	11,94	1,0	5,9	7,0
0,87	11,98	1,0	5,9	7,0
0,90	12,07	1,0	5,9	7,0
0,92	12,17	1,0	5,9	7,0
0,95	12,22	1,0	5,9	7,0
0,97	12,25	1,0	5,9	7,0
1,00	12,35	1,0	5,9	7,0
1,02	12,45	1,0	5,9	7,0
1,05	12,49	1,0	5,9	7,0
1,07	12,51	1,0	5,9	7,0
1,09	12,61	1,0	5,9	7,0
1,12	12,71	1,0	5,9	7,0
1,14	12,74	1,0	5,9	7,0
1,17	12,78	1,0	5,9	7,0
1,19	12,88	1,0	5,9	7,0
1,22	12,97	1,0	5,9	7,0
1,24	13,01	1,0	5,9	7,0
1,26	13,04	1,0	5,9	7,0
1,29	13,15	1,0	5,9	7,0
1,31	13,24	1,0	5,9	7,0
1,34	13,26	1,0	5,9	7,0
1,36	13,31	1,0	5,9	7,0
1,39	13,41	1,0	5,9	7,0
1,41	13,49	1,0	5,9	7,0
1,44	13,51	1,0	5,9	7,0
1,46	13,57	1,0	5,9	7,0
1,48	13,67	1,0	5,9	7,0
1,51	13,75	1,0	5,9	7,0
1,53	13,77	1,0	5,9	7,0
1,56	13,83	1,0	5,9	7,0
1,58	13,93	1,0	5,9	7,0
1,61	14,01	1,0	5,9	7,0
1,63	14,02	1,0	5,9	7,0
1,66	14,08	1,0	5,9	7,0
1,68	14,19	1,0	5,9	7,0
1,70	14,26	1,0	5,9	7,0
1,73	14,28	1,0	5,9	7,0
1,75	14,35	1,0	5,9	7,0
1,78	14,44	1,0	5,9	7,0
1,80	14,51	1,0	5,9	7,0
1,83	14,52	1,0	5,9	7,0
1,85	14,58	1,0	5,9	7,0
1,88	14,69	1,0	5,9	7,0
1,90	14,76	1,0	5,9	7,0
1,92	14,77	1,0	5,9	7,0
1,95	14,86	1,0	5,9	7,0
1,97	14,97	1,0	5,9	7,0
2,00	15,03	1,0	5,9	7,0
2,02	15,03	1,0	5,9	7,0
2,05	15,11	1,0	5,9	7,0
2,07	15,21	1,0	5,9	7,0
2,10	15,26	1,0	5,9	7,0
2,12	15,28	1,0	5,9	7,0
2,14	15,35	1,0	5,9	7,0
2,17	15,46	1,0	5,9	7,0
2,19	15,51	1,0	5,9	7,0
2,22	15,52	1,0	5,9	7,0
2,24	15,59	1,0	5,9	7,0
2,27	15,70	1,0	5,9	7,0
2,29	15,73	1,0	5,9	7,0
2,31	15,76	1,0	5,9	7,0
2,34	15,88	1,0	5,9	7,0
2,36	15,95	1,0	5,9	7,0
2,39	15,95	1,0	5,9	7,0
2,41	16,00	1,0	5,9	7,0
2,44	16,11	1,0	5,9	7,0
2,46	16,19	1,0	5,9	7,0
2,49	16,18	1,0	5,9	7,0
2,51	16,23	1,0	5,9	7,0
2,53	16,35	1,0	5,9	7,0
2,56	16,42	1,0	5,9	7,0
2,58	16,41	1,0	5,9	7,0
2,61	16,46	1,0	5,9	7,0
2,63	16,56	1,0	5,9	7,0
2,66	16,59	1,0	5,9	7,0
2,68	16,62	1,0	5,9	7,0
2,71	16,71	1,0	5,9	7,0
2,73	16,80	1,0	5,9	7,0
2,75	16,81	1,0	5,9	7,0
2,78	16,84	1,0	5,9	7,0
2,80	16,93	1,0	5,9	7,0
2,83	17,00	1,0	5,9	7,0
2,85	17,01	1,0	5,9	7,0
2,88	17,04	1,0	5,9	7,0
2,90	17,14	1,0	5,9	7,0
2,93	17,22	1,0	5,9	7,0
2,95	17,23	1,0	5,9	7,0
2,97	17,24	1,0	5,9	7,0
3,00	17,34	1,0	5,9	7,0
3,02	17,41	1,0	5,9	7,0
3,05	17,42	1,0	5,9	7,0
3,07	17,45	1,0	5,9	7,0
3,10	17,55	1,0	5,9	7,0
3,12	17,61	1,0	5,9	7,0
3,15	17,64	1,0	5,9	7,0
3,17	17,68	1,0	5,9	7,0
3,19	17,78	1,0	5,9	7,0
3,22	17,84	1,0	5,9	7,0
3,24	17,85	1,0	5,9	7,0
3,27	17,89	1,0	5,9	7,0
3,29	18,00	1,0	5,9	7,0
3,32	18,06	1,0	5,9	7,0
3,34	18,06	1,0	5,9	7,0
3,36	18,11	1,0	5,9	7,0
3,39	18,21	1,0	5,9	7,0
3,41	18,27	1,0	5,9	7,0
3,44	18,27	1,0	5,9	7,0
3,46	18,32	1,0	5,9	7,0
3,49	18,40	1,0	5,9	7,0
3,51	18,44	1,0	5,9	7,0
3,54	18,43	1,0	5,9	7,0
3,56	18,49	1,0	5,9	7,0
3,58	18,59	1,0	5,9	7,0
3,61	18,63	1,0	5,9	7,0
3,63	18,63	1,0	5,9	7,0
3,66	18,69	1,0	5,9	7,0
3,68	18,78	1,0	5,9	7,0
3,71	18,82	1,0	5,9	7,0
3,73	18,82	1,0	5,9	7,0
3,76	18,88	1,0	5,9	7,0
3,78	18,98	1,0	5,9	7,0
3,80	19,01	1,0	5,9	7,0
3,83	19,01	1,0	5,9	7,0
3,85	19,09	1,0	5,9	7,0
3,88	19,19	1,0	5,9	7,0
3,90	19,22	1,0	5,9	7,0
3,93	19,22	1,0	5,9	7,0
3,95	19,29	1,0	5,9	7,0
3,98	19,38	1,0	5,9	7,0
4,00	19,39	1,0	5,9	7,0
4,02	19,39	1,0	5,9	7,0
4,05	19,45	1,0	5,9	7,0
4,07	19,56	1,0	5,9	7,0
4,10	19,57	1,0	5,9	7,0
4,12	19,57	1,0	5,9	7,0
4,15	19,65	1,0	5,9	7,0
4,17	19,74	1,0	5,9	7,0
4,20	19,74	1,0	5,9	7,0
4,22	19,75	1,0	5,9	7,0
4,24	19,83	1,0	5,9	7,0
4,27	19,90	1,0	5,9	7,0
4,29	19,92	1,0	5,9	7,0
4,32	19,94	1,0	5,9	7,0
4,34	20,02	1,0	5,9	7,0
4,37	20,12	1,0	5,9	7,0
4,39	20,12	1,0	5,9	7,0
4,42	20,14	1,0	5,9	7,0
4,44	20,23	1,0	5,9	7,0
4,46	20,30	1,0	5,9	7,0
4,49	20,30	1,0	5,9	7,0
4,51	20,32	1,0	5,9	7,0
4,54	20,42	1,0	5,9	7,0
4,56	20,48	1,0	5,9	7,0
4,59	20,50	1,0	5,9	7,0
4,61	20,51	1,0	5,9	7,0
4,63	20,62	1,0	5,9	7,0
4,66	20,69	1,0	5,9	7,0
4,68	20,68	1,0	5,9	7,0
4,71	20,69	1,0	5,9	7,0
4,73	20,79	1,0	5,9	7,0
4,76	20,83	1,0	5,9	7,0
4,78	20,83	1,0	5,9	7,0
4,81	20,90	1,0	5,9	7,0
4,83	21,00	1,0	5,9	7,0
4,85	21,00	1,0	5,9	7,0
4,88	21,02	1,0	5,9	7,0
4,90	21,09	1,0	5,9	7,0
4,93	21,19	1,0	5,9	7,0
4,95	21,20	1,0	5,9	7,0
4,98	21,20	1,0	5,9	7,0
5,00	21,29	1,0	5,9	7,0
5,03	21,40	1,0	5,9	7,0
5,05	21,40	1,0	5,9	7,0
5,07	21,43	1,0	5,9	7,0
5,10	21,53	1,0	5,9	7,0
5,12	21,58	1,0	5,9	7,0
5,15	21,58	1,0	5,9	7,0
5,17	21,64	1,0	5,9	7,0
5,20	21,73	1,0	5,9	7,0
5,22	21,78	1,0	5,9	7,0
5,25	21,77	1,0	5,9	7,0
5,27	21,83	1,0	5,9	7,0
5,29	21,94	1,0	5,9	7,0
5,32	21,98	1,0	5,9	7,0
5,34	21,98	1,0	5,9	7,0
5,37	22,04	1,0	5,9	7,0
5,39	22,13	1,0	5,9	7,0
5,42	22,16	1,0	5,9	7,0
5,44	22,16	1,0	5,9	7,0
5,47	22,22	1,0	5,9	7,0
5,49	22,32	1,0	5,9	7,0
5,51	22,36	1,0	5,9	7,0
5,54	22,35	1,0	5,9	7,0
5,56	22,43	1,0	5,9	7,0
5,59	22,54	1,0	5,9	7,0
5,61	22,56	1,0	5,9	7,0
5,64	22,56	1,0	5,9	7,0
5,66	22,64	1,0	5,9	7,0
5,68	22,75	1,0	5,9	7,0
5,71	22,77	1,0	5,9	7,0
5,73	22,79	1,0	5,9	7,0
5,76	22,89	1,0	5,9	7,0
5,78	23,00	1,0	5,9	7,0
5,81	23,02	1,0	5,9	7,0
5,83	23,03	1,0	5,9	7,0
5,86	23,13	1,0	5,9	7,0
5,88	23,23	1,0	5,9	7,0
5,90	23,24	1,0	5,9	7,0
5,93	23,25	1,0	5,9	7,0
5,95	23,34	1,0	5,9	7,0
5,98	23,45	1,0	5,9	7,0
6,00	23,46	1,0	5,9	7,0
6,03	23,48	1,0	5,9	7,0
6,05	23,57	1,0	5,9	7,0
6,08	23,66	1,0	5,9	7,0
6,10	23,66	1,0	5,9	7,0
6,12	23,68	1,0	5,9	7,0
6,15	23,79	1,0	5,9	7,0
6,17	23,88	1,0	5,9	7,0
6,20	23,89	1,0	5,9	7,0
6,22	23,92	1,0	5,9	7,0
6,25	24,02	1,0	5,9	7,0
6,27	24,12	1,0	5,9	7,0
6,30	24,13	1,0	5,9	7,0
6,32	24,16	1,0	5,9	7,0
6,34	24,27	1,0	5,9	7,0
6,37	24,35	1,0	5,9	7,0
6,39	24,35	1,0	5,9	7,0
6,42	24,39	1,0	5,9	7,0
6,44	24,51	1,0	5,9	7,0
