Begin Header
Date,01/04/2002 17:59:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,508
StartValue,350
EndValue,800
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,293,2
End Header
nm,Value
350.1,0.005322
351,0.005546
351.9,0.00258
352.8,0.006421
353.7,0.003076
354.5,0.005134
355.4,0.003015
356.3,0.001471
357.2,0.00241
358.1,0.002798
358.9,0.01162
359.8,0.004342
360.7,0.01345
361.6,0.02021
362.5,0.007216
363.3,0.01079
364.2,0.007931
365.1,0.004366
366,0.004949
366.9,0.002225
367.7,0.005897
368.6,0.005261
369.5,0.006671
370.4,0.0249
371.3,0.007403
372.2,0.005851
373,0.008578
373.9,0.007016
374.8,0.006158
375.7,0.0061
376.6,0.006551
377.5,0.006591
378.3,0.007333
379.2,0.007112
380.1,0.009311
381,0.01175
381.9,0.06912
382.7,0.02503
383.6,0.01495
384.5,0.01597
385.4,0.0189
386.3,0.02915
387.2,0.04055
388,0.2462
388.9,1
389.8,0.1347
390.7,0.02581
391.6,0.02247
392.5,0.01787
393.3,0.01417
394.2,0.01358
395.1,0.01048
396,0.09884
396.9,0.1048
397.8,0.008061
398.6,0.005263
399.5,0.005257
400.4,0.007368
401.3,0.01022
402.2,0.183
403.1,0.2061
403.9,0.004535
404.8,0.003015
405.7,0.003383
406.6,0.003958
407.5,0.002234
408.3,0.002037
409.2,0.001884
410.1,0.002821
411,0.002891
411.9,0.07086
412.8,0.01225
413.6,0.009406
414.5,0.01687
415.4,0.00244
416.3,0.002645
417.2,0.003712
418,0.00152
418.9,0.001726
419.8,0.001564
420.7,0.001949
421.6,0.000849
422.5,0.001659
423.3,0.001151
424.2,0.0007049
425.1,0.00143
426,0.000518
426.9,0.001855
427.7,0.001742
428.6,0.001351
429.5,0.00255
430.4,0.001733
431.3,0.00185
432.2,0.001761
433,0.001708
433.9,0.002171
434.8,0.001669
435.7,0.001546
436.6,0.0007641
437.5,0.001812
438.3,0.05175
439.2,0.064
440.1,0.002755
441,0.002918
441.9,0.003852
442.8,0.005299
443.7,0.02497
444.5,0.00788
445.4,0.007458
446.3,0.05413
447.2,1
448.1,0.0624
449,0.007429
449.9,0.004707
450.8,0.004698
451.6,0.004445
452.5,0.003466
453.4,0.003652
454.3,0.003795
455.2,0.002663
456.1,0.002784
457,0.002639
457.8,0.002368
458.7,0.002174
459.6,0.00167
460.5,0.00162
461.4,0.002031
462.3,0.002287
463.2,0.001537
464,0.002492
464.9,0.002358
465.8,0.002489
466.7,0.00293
467.6,0.002121
468.5,0.002603
469.4,0.002124
470.2,0.005942
471.1,0.5724
472,0.1314
472.9,0.00569
473.8,0.002555
474.7,0.002379
475.6,0.002168
476.4,0.002186
477.3,0.002798
478.2,0.003193
479.1,0.002574
480,0.001287
480.9,0.001486
481.8,0.001344
482.7,0.001262
483.5,0.001916
484.4,0.002377
485.3,0.001732
486.2,0.002635
487.1,0.002659
488,0.002826
488.9,0.002711
489.7,0.002843
490.6,0.003925
491.5,0.03823
492.4,0.6559
493.3,0.01473
494.2,0.004096
495.1,0.00378
495.9,0.003512
496.8,0.004275
497.7,0.004173
498.6,0.003807
499.5,0.006852
500.4,0.0154
501.3,1
502.1,1
503,0.01554
503.9,0.02554
504.8,0.195
505.7,0.01583
506.6,0.004039
507.5,0.002406
508.3,0.002613
509.2,0.00252
510.1,0.001534
511,0.001038
511.9,0.002221
512.8,0.002689
513.7,0.002654
514.6,0.0008309
515.4,0.001806
516.3,0.001833
517.2,0.001287
518.1,0.001619
519,0.002672
519.9,0.002981
520.8,0.002242
521.6,0.001544
522.5,0.001609
523.4,0.001419
524.3,0.000434
525.2,0.0009644
526.1,0.000434
527,0.001127
527.8,0.001458
528.7,0.0007154
529.6,0.001546
530.5,0.0007421
531.4,0.001553
532.3,0.001065
533.2,0.001018
534,0.0005971
534.9,0.0009444
535.8,0.001147
536.7,0.0006506
537.6,0.0009024
538.5,0.002291
539.4,0.0005638
540.2,0.00029
541.1,0.001553
542,0.001807
542.9,0.002501
543.8,0.001331
544.7,0.001102
545.6,0.0007498
546.5,0.001128
547.3,0.00135
548.2,0.001245
549.1,0.001037
550,0.0009053
550.9,0.001022
551.8,0.001391
552.7,0.002831
553.6,0.001056
554.5,0.001709
555.4,0.001921
556.2,0.001442
557.1,0.004075
558,0.002751
558.9,0.001886
559.8,0.002647
560.7,0.002825
561.6,0.00188
562.5,0.003687
563.4,0.003626
564.3,0.003157
565.1,0.003497
566,0.005207
566.9,0.002196
567.8,0.00281
568.7,0.003137
569.6,0.005049
570.5,0.005751
571.4,0.004812
572.3,0.006528
573.2,0.009111
574,0.008069
574.9,0.005412
575.8,0.006733
576.7,0.007592
