Begin Header
Date,01/04/2002 18:02:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,113
StartValue,700
EndValue,800
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,293,3
End Header
nm,Value
700.1,0.02023
701,0.02221
701.9,0.02368
702.8,0.02718
703.7,0.03838
704.6,0.06749
705.5,1
706.3,1
707.2,1
708.1,0.2002
709,0.0662
709.9,0.04206
710.8,0.02856
711.7,0.02343
712.6,0.01942
713.5,0.01751
714.3,0.01795
715.2,0.01615
716.1,0.01427
717,0.01465
717.9,0.01222
718.8,0.01621
719.7,0.0118
720.6,0.009585
721.5,0.009719
722.4,0.01221
723.2,0.01145
724.1,0.01325
725,0.01057
725.9,0.01927
726.8,0.0683
727.7,1
728.6,1
729.5,0.0965
730.4,0.02835
731.3,0.01085
732.1,0.01048
733,0.005848
733.9,0.007561
734.8,0.01062
735.7,0.00659
736.6,0.006543
737.5,0.004616
738.4,0.006403
739.3,0.006969
740.2,0.008379
741,0.007606
741.9,0.006629
742.8,0.003132
743.7,0.003673
744.6,0.002325
745.5,0.002225
746.4,0.004382
747.3,0.004487
748.2,0.002846
749.1,0.002998
749.9,0.00157
750.8,0.001706
751.7,0.001531
752.6,0.004278
753.5,0.004082
754.4,-0.0009005
755.3,-0.0008385
756.2,-0.000725
757.1,0.002943
758,0.006622
758.8,0.004023
759.7,0.003213
760.6,0.001435
761.5,0.0002232
762.4,0.002741
763.3,0.007035
764.2,0.005064
765.1,1.526E-05
766,-9.539E-05
766.9,0.001869
767.8,0.0008585
768.6,0.003654
769.5,0.001315
770.4,0.001624
771.3,0.001355
772.2,-0.003117
773.1,0.001347
774,0.004018
774.9,0.004191
775.8,0.003934
776.7,0.06434
777.5,0.3852
778.4,0.07154
779.3,0.004659
780.2,9.539E-07
781.1,0.005491
782,0.005468
782.9,0.00449
783.8,0.008458
784.7,0.005151
785.6,0.005082
786.5,0.003934
787.3,0.003844
788.2,0.002388
789.1,0.001624
790,0.00389
790.9,0.01462
791.8,0.004186
792.7,0.01578
793.6,0.008153
794.5,0.003862
795.4,0.0009844
796.3,0.00198
797.1,0.003929
798,0.002618
798.9,0.002664
799.8,0.005339
