Begin Header
Date,01/04/2002 17:48:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,508
StartValue,350
EndValue,800
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,3
CoolerFilter,False
CoolerTemp,292,9
End Header
nm,Value
350.1,0.3094
351,0.6143
351.9,0.6252
352.8,0.07568
353.7,0.9043
354.5,0.9082
355.4,0.8821
356.3,0.8878
357.2,0.1501
358.1,0.4375
358.9,0.4426
359.8,0.6554
360.7,0.546
361.6,0
362.5,0.2369
363.3,-0.4077
364.2,0.7832
365.1,0.2538
366,0.3819
366.9,0.7209
367.7,0.7212
368.6,-0.1138
369.5,0.2404
370.4,0.2344
371.3,0.6795
372.2,-0.000954
373,-0.001908
373.9,0.8204
374.8,0.7422
375.7,0.04452
376.6,-0.00159
377.5,0.629
378.3,0.6105
379.2,0.2525
380.1,0.1708
381,0.8662
381.9,0.3221
382.7,0.1189
383.6,-0.3158
384.5,-0.04356
385.4,-0.06232
386.3,0
387.2,0.2245
388,0.2051
388.9,0.04261
389.8,0.3892
390.7,0.2035
391.6,0.2976
392.5,0.118
393.3,0.3565
394.2,0.2051
395.1,0.4862
396,0.2251
396.9,-0.000636
397.8,-0.2089
398.6,0.3202
399.5,0.3755
400.4,-0.000954
401.3,0.1075
402.2,0.1091
403.1,0.1434
403.9,-0.000954
404.8,-0.000954
405.7,-0.2105
406.6,-0.05406
407.5,-0.3339
408.3,0
409.2,-0.000954
410.1,0.5011
411,0.09699
411.9,0.4089
412.8,0.338
413.6,0.2817
414.5,-0.001272
415.4,-0.0849
416.3,0.04611
417.2,-0.2808
418,0.08808
418.9,0.09222
419.8,0.2814
420.7,-0.001272
421.6,-0.3218
422.5,-0.04579
423.3,0.03943
424.2,-0.000318
425.1,0
426,-0.1374
426.9,-0.09063
427.7,-0.08808
428.6,-0.04706
429.5,-0.08872
430.4,-0.2369
431.3,-0.000954
432.2,-0.0655
433,0.2474
433.9,1.631
434.8,0.5011
435.7,0.1033
436.6,0.1453
437.5,0.08204
438.3,0.08268
439.2,0
440.1,-0.06837
441,0.1695
441.9,-0.00159
442.8,0.08268
443.7,0.000954
444.5,0.338
445.4,0.04356
446.3,0.001908
447.2,-0.1727
448.1,-0.04388
449,0.2461
449.9,0.262
450.8,0.2687
451.6,0.2296
452.5,0.08299
453.4,0.02131
454.3,-0.08586
455.2,0.05915
456.1,0.1262
457,0.3441
457.8,0.07568
458.7,0.01749
459.6,0.09794
460.5,0.1704
461.4,0.08299
462.3,0.3377
463.2,0.08586
464,-0.05279
464.9,0.08299
465.8,-0.08808
466.7,0.05342
467.6,0.07981
468.5,0.1711
469.4,0.2
470.2,-0.08681
471.1,0.04166
472,0.2369
472.9,0.1447
473.8,0.3008
474.7,0.2633
475.6,0.06264
476.4,-0.000954
477.3,0.05342
478.2,-0.000636
479.1,0.2572
480,0.1708
480.9,0.09635
481.8,-0.132
482.7,-0.02321
483.5,0.08554
484.4,0.1689
485.3,1.022
486.2,10.62
487.1,0.8846
488,0.1755
488.9,0.16
489.7,0.1374
490.6,-0.1288
491.5,-0.06296
492.4,0.0884
493.3,0.2353
494.2,-0.03498
495.1,0.08586
495.9,-0.04515
496.8,-0.000954
497.7,0.04484
498.6,0.08999
499.5,0.08967
500.4,-0.09858
501.3,0.09094
502.1,0.09253
503,0.08808
503.9,0.04452
504.8,0.04643
505.7,0.09126
506.6,-0.001908
507.5,0.09349
508.3,-0.1867
509.2,-0.09412
510.1,-0.04802
511,0.1447
511.9,0.2588
512.8,-0.1952
513.7,0.03466
514.6,0.0954
515.4,0.04802
516.3,0.1889
517.2,0.1695
518.1,0.2945
519,0.394
519.9,-0.1005
520.8,-0.0512
521.6,0.3867
522.5,0.3819
523.4,0.1898
524.3,0.2649
525.2,0.4919
526.1,0.1968
527,-0.09253
527.8,0.04897
528.7,0.1431
529.6,0.2862
530.5,0.2172
531.4,-0.002544
532.3,0.194
533.2,0.3972
534,0.436
534.9,0.1406
535.8,-0.2204
536.7,0.2935
537.6,0.09762
538.5,0.1011
539.4,0.2051
540.2,0.165
541.1,0.1014
542,0.1024
542.9,0.05151
543.8,-0.1892
544.7,0
545.6,0.0531
546.5,0.05501
547.3,0.1081
548.2,-0.1094
549.1,0.02703
550,-0.1113
550.9,0.214
551.8,0.1088
552.7,0.08077
553.6,0.2779
554.5,0.4566
555.4,0.2331
556.2,0.03021
557.1,-0.172
558,-0.08617
558.9,0
559.8,0.0919
560.7,-0.06932
561.6,-0.2394
562.5,0
563.4,0.1294
564.3,-0.05946
565.1,0.1158
566,0.000954
566.9,0.3908
567.8,-0.002226
568.7,-0.000954
569.6,0.4875
570.5,0.3094
571.4,0.6089
572.3,-0.0636
573.2,0.1215
