Begin Header
Date,01/04/2002 17:51:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,86
StartValue,350
EndValue,400
Steps,0,75
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,293
End Header
nm,Value
350.1,0.02635
350.7,0.03042
351.3,0.03116
351.9,0.02578
352.5,0.02598
353.1,0.02903
353.7,0.02844
354.2,0.02841
354.8,0.03127
355.4,0.03163
356,0.02917
356.6,0.02865
357.2,0.02849
357.8,0.02822
358.4,0.02974
358.9,0.03444
359.5,0.03243
360.1,0.03072
360.7,0.02816
361.3,0.03007
361.9,0.03259
362.5,0.03216
363,0.03073
363.6,0.03009
364.2,0.03023
364.8,0.02853
365.4,0.02801
366,0.02911
366.6,0.0336
367.2,0.03379
367.7,0.03494
368.3,0.03701
368.9,0.0357
369.5,0.03417
370.1,0.03283
370.7,0.03307
371.3,0.02653
371.9,0.02843
372.4,0.03044
373,0.03012
373.6,0.02989
374.2,0.03047
374.8,0.03014
375.4,0.03
376,0.03111
376.6,0.03035
377.2,0.03211
377.7,0.03063
378.3,0.02577
378.9,0.027
379.5,0.03372
380.1,0.03282
380.7,0.02918
381.3,0.02841
381.9,0.02637
382.5,0.02567
383,0.02813
383.6,0.03219
384.2,0.03096
384.8,0.02752
385.4,0.02902
386,0.03289
386.6,0.0336
387.2,0.03477
387.8,0.02783
388.3,0.03083
388.9,0.03785
389.5,0.03106
390.1,0.02749
390.7,0.02298
391.3,0.02653
391.9,0.02503
392.5,0.02363
393,0.02125
393.6,0.02228
394.2,0.02395
394.8,0.02532
395.4,0.02449
396,0.03442
396.6,0.05464
397.2,0.05693
397.8,0.02751
398.3,0.02691
398.9,0.02981
399.5,0.03073
400.1,0.0295
