Begin Header
Date,01/04/2002 18:11:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,225
StartValue,600
EndValue,800
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,293,4
End Header
nm,Value
600.1,0.007712
601,0.008112
601.9,0.00258
602.8,0.001701
603.7,0.001914
604.6,0.0001326
605.5,0.00848
606.4,0.003371
607.3,0.002659
608.2,0.004022
609,0.001427
609.9,0.000559
610.8,0.0002366
611.7,-0.00062
612.6,-0.001823
613.5,-0.0003367
614.4,0.00101
615.3,0.0009186
616.2,0.000953
617.1,-0.0001793
617.9,0.0009835
618.8,0.001407
619.7,0.002421
620.6,0.001409
621.5,0.0009119
622.4,0.0007116
623.3,0.002951
624.2,0.002831
625.1,0.0008041
626,0.0002156
626.8,0.003128
627.7,0.0008957
628.6,0.0009081
629.5,0.0009234
630.4,-0.0002099
631.3,0.001117
632.2,0.0008433
633.1,0.001581
634,0.001354
634.9,0.00191
635.7,0.0005294
636.6,0.001088
637.5,0.0006219
638.4,0.0008127
639.3,0.0003901
640.2,0.002262
641.1,0.002761
642,0.01167
642.9,0.005016
643.8,0.002672
644.6,0.005513
645.5,0.02403
646.4,0.005599
647.3,0.002743
648.2,0.001221
649.1,0.0003739
650,0.0006964
650.9,0.001613
651.8,0.0008223
652.6,0.002411
653.5,0.001902
654.4,0.004405
655.3,0.003037
656.2,0.000414
657.1,0.0005676
658,0.0009415
658.9,0.002048
659.8,0.001164
660.7,0.001247
661.5,0.0007173
662.4,-0.0003415
663.3,0.002929
664.2,0.00339
665.1,0.003752
666,0.002483
666.9,0.0005895
667.8,0.0007984
668.7,0.0005094
669.6,0.005722
670.4,0.001401
671.3,0.0008747
672.2,-0.002094
673.1,-6.391E-05
674,0.001762
674.9,0.0008681
675.8,0.001992
676.7,0.001935
677.6,-0.0003138
678.5,-0.0002242
679.3,-2.099E-05
680.2,0.0008328
681.1,0.006287
682,0.00385
682.9,0.002188
683.8,0.0002375
684.7,0.001421
685.6,-8.013E-05
686.5,0.001129
687.4,0.001783
688.2,-0.001173
689.1,0.001319
690,0.02008
690.9,0.01584
691.8,0.001654
692.7,0.0006973
693.6,0.000952
694.5,-0.001727
695.4,-0.0005619
696.3,-0.001934
697.1,-0.001189
698,-0.0004369
698.9,0.001642
699.8,0.004714
700.7,0.0005056
701.6,0.002778
702.5,0.001179
703.4,0.003067
704.3,0.002575
705.2,-5.628E-05
706,0.001446
706.9,0.002485
707.8,0.001519
708.7,0.00396
709.6,0.001853
710.5,-0.0005542
711.4,0.0008948
712.3,0.0003797
713.2,0.001098
714.1,-0.0001946
714.9,0.00149
715.8,0.002162
716.7,-0.002177
717.6,0.009843
718.5,-0.0003043
719.4,-0.0007164
720.3,0.001052
721.2,0.001868
722.1,0.02652
723,0.005875
723.8,0.001425
724.7,-0.00128
725.6,0.002532
726.5,0.002039
727.4,0.0001793
728.3,0.01533
729.2,0.01103
730.1,0.005981
731,0.003408
731.9,-0.0001593
732.7,0.000145
733.6,-0.0006992
734.5,0.001576
735.4,0.003182
736.3,0.007751
737.2,0.002466
738.1,0.005149
739,0.004063
739.9,0.00251
740.8,0.0006906
741.6,0.008262
742.5,0.01033
743.4,0.009415
744.3,0.009494
745.2,0.004649
746.1,0.006521
747,0.007911
747.9,0.01995
748.8,0.04441
749.6,0.0173
750.5,0.01191
751.4,0.01043
752.3,0.01453
753.2,0.01668
754.1,0.01649
755,0.01715
755.9,0.02159
756.8,0.03864
757.7,0.6864
758.5,1
759.4,1
760.3,1
761.2,0.769
762.1,0.08733
763,0.0449
763.9,0.03187
764.8,0.02482
765.7,0.02643
766.6,0.02632
767.5,0.2197
768.3,1
769.2,1
770.1,0.563
771,0.03612
771.9,0.02477
772.8,0.02591
773.7,0.02989
774.6,0.04289
775.5,0.02044
776.4,0.01652
777.3,0.0199
778.1,0.01193
779,0.0133
779.9,0.01815
780.8,0.01511
781.7,0.01266
782.6,0.00932
783.5,0.01377
784.4,0.198
785.3,1
786.2,0.4723
787,0.03286
787.9,0.0236
788.8,0.01707
789.7,0.01135
790.6,0.06036
791.5,0.08009
792.4,0.07957
793.3,0.0334
794.2,0.01636
795.1,0.01305
796,0.01499
796.8,0.01359
797.7,0.02842
798.6,0.02027
799.5,0.011
