Begin Header
Date,01/04/2002 17:36:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,43
StartValue,550
EndValue,600
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,2,5
CoolerFilter,False
CoolerTemp,292,5
End Header
nm,Value
550,0.1305
551.2,0.1275
552.4,-0.001145
553.6,-0.1301
554.8,0.03244
555.9,0.1378
557.1,0.4782
558.3,0.5511
559.5,0.3561
560.7,0.03282
561.9,0.1382
563.1,0.2771
564.3,-0.1408
565.4,0.4221
566.6,0.108
567.8,0.07098
569,0.1424
570.2,0.1496
571.4,-0.0007633
572.6,-0.01069
573.7,-0.04961
574.9,0.4236
576.1,0.4835
577.3,0.4316
578.5,1.003
579.7,1.188
580.9,0.5141
582.1,0.458
583.2,0.1477
584.4,-0.009159
585.6,-0.001908
586.8,0.4393
588,-0.1149
589.2,0.07327
590.4,0.1416
591.5,0.1412
592.7,0.01527
593.9,0.1572
595.1,0.2786
596.3,0.4553
597.5,-0.0007633
598.7,0.4
599.8,0.1622
