Begin Header
Date,01/04/2002 17:35:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,113
StartValue,500
EndValue,600
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,2,5
CoolerFilter,False
CoolerTemp,292,4
End Header
nm,Value
500.1,-0.1225
501,0.2935
501.9,0.3751
502.7,0.108
503.6,0.1053
504.5,0
505.4,0.1359
506.3,0.1107
507.2,0.1118
508.1,0.3355
508.9,0.4519
509.8,0.1641
510.7,0.08167
511.6,0.1137
512.5,0.2889
513.4,0.2301
514.3,0.1424
515.1,-0.3622
516,-0.05877
516.9,0.01794
517.8,-0.1202
518.7,-0.2381
519.6,-0.1496
520.5,-0.06182
521.3,-0.001908
522.2,0.4522
523.1,0.1694
524,-0.2977
524.9,0.1553
525.8,0.2523
526.7,0.08968
527.5,-0.1336
528.4,0
529.3,-0.001145
530.2,0.4457
531.1,-0.0003816
532,-0.01488
532.9,0.02442
533.8,0.05953
534.6,0.1172
535.5,0.1775
536.4,0.1076
537.3,0
538.2,0.05839
539.1,0.05953
540,0.06144
540.8,-0.2095
541.7,-0.3213
542.6,-0.1878
543.5,0.1206
544.4,0.124
545.3,2.705
546.2,7.483
547,0.9617
547.9,-0.0003816
548.8,-0.06831
549.7,-0.1691
550.6,-0.0007633
551.5,0.4019
552.4,0.1653
553.3,0.06335
554.2,-0.2072
555.1,0.5267
555.9,-0.04083
556.8,-0.02557
557.7,-0.2958
558.6,0.1378
559.5,0.108
560.4,-0.1653
561.3,0.08434
562.2,0.279
563.1,-0.001145
564,-0.1072
564.8,0.2778
565.7,0.577
566.6,0.1801
567.5,-0.03206
568.4,-0.1431
569.3,-0.1122
570.2,0
571.1,0.1809
572,-0.142
572.9,-0.03931
573.7,-0.07404
574.6,-0.211
575.5,-0.001527
576.4,0.7533
577.3,0.4316
578.2,0.1775
579.1,1.174
580,-0.0007633
580.9,0.2572
581.8,0.2225
582.6,0.1527
583.5,0.07442
584.4,0.1462
585.3,0.0003816
586.2,0.3763
587.1,0.1572
588,-0.1347
588.9,-0.0007633
589.8,-0.1633
590.7,0.2172
591.5,-0.3805
592.4,0.05114
593.3,-0.0007633
594.2,-0.3187
595.1,-0.3633
596,-0.4072
596.9,0.6354
597.8,0.1584
598.7,0.4709
599.6,0.1988
