Begin Header
Date,01/04/2002 18:03:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,508
StartValue,350
EndValue,800
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,293,3
End Header
nm,Value
350.1,0.005964
351,0.002017
351.9,0.003673
352.8,0.007665
353.7,-0.0001431
354.5,0.00281
355.4,0.003382
356.3,0.003879
357.2,0.003573
358.1,0.004481
358.9,0.01013
359.8,0.006443
360.7,0.01342
361.6,0.02104
362.5,0.005376
363.3,0.01308
364.2,0.003139
365.1,0.003647
366,0.003607
366.9,0.00337
367.7,0.003024
368.6,0.005034
369.5,0.003178
370.4,0.02346
371.3,0.005398
372.2,0.005615
373,0.006889
373.9,0.005159
374.8,0.005158
375.7,0.007954
376.6,0.005299
377.5,0.005562
378.3,0.00661
379.2,0.009766
380.1,0.009789
381,0.01433
381.9,0.07054
382.7,0.01455
383.6,0.01448
384.5,0.01708
385.4,0.01659
386.3,0.03182
387.2,0.04068
388,0.2506
388.9,1
389.8,0.1287
390.7,0.02743
391.6,0.02047
392.5,0.01644
393.3,0.01381
394.2,0.0117
395.1,0.01112
396,0.1055
396.9,0.1104
397.8,0.007622
398.6,0.0065
399.5,0.005246
400.4,0.007025
401.3,0.009194
402.2,0.1948
403.1,0.2108
403.9,0.005171
404.8,0.002706
405.7,0.003974
406.6,0.003383
407.5,0.00164
408.3,0.002339
409.2,0.001368
410.1,0.001011
411,0.003033
411.9,0.0752
412.8,0.01282
413.6,0.008374
414.5,0.02263
415.4,0.002498
416.3,0.002057
417.2,0.004524
418,0.00219
418.9,0.002155
419.8,0.001563
420.7,0.00148
421.6,0.0009816
422.5,0.001489
423.3,0.001315
424.2,0.00129
425.1,0.0008576
426,0.0008938
426.9,0.001516
427.7,0.00126
428.6,0.0004369
429.5,0.001517
430.4,0.001491
431.3,0.002103
432.2,0.001738
433,0.00144
433.9,0.001661
434.8,0.001411
435.7,0.001246
436.6,0.002625
437.5,0.002023
438.3,0.05845
439.2,0.06675
440.1,0.003574
441,0.004482
441.9,0.002799
442.8,0.004805
443.7,0.0294
444.5,0.006099
445.4,0.008495
446.3,0.05789
447.2,1
448.1,0.06162
449,0.007918
449.9,0.005638
450.8,0.004149
451.6,0.003682
452.5,0.003798
453.4,0.002577
454.3,0.003278
455.2,0.001735
456.1,0.002625
457,0.003021
457.8,0.002706
458.7,0.00165
459.6,0.002183
460.5,0.002158
461.4,0.002535
462.3,0.001938
463.2,0.002285
464,0.001729
464.9,0.003102
465.8,0.002104
466.7,0.002136
467.6,0.002334
468.5,0.002943
469.4,0.002308
470.2,0.006437
471.1,0.5918
472,0.1311
472.9,0.004677
473.8,0.001528
474.7,0.002099
475.6,0.002191
476.4,0.001458
477.3,0.001679
478.2,0.001871
479.1,0.002276
480,0.002047
480.9,0.001483
481.8,0.001544
482.7,0.002552
483.5,0.001903
484.4,0.002165
485.3,0.002055
486.2,0.001832
487.1,0.001982
488,0.002036
488.9,0.002107
489.7,0.001936
490.6,0.004436
491.5,0.03877
492.4,0.6895
493.3,0.01575
494.2,0.004734
495.1,0.004216
495.9,0.003171
496.8,0.003749
497.7,0.003675
498.6,0.00421
499.5,0.006841
500.4,0.01567
501.3,1
502.1,1
503,0.01633
503.9,0.009439
504.8,0.2153
505.7,0.0161
506.6,0.003462
507.5,0.003809
508.3,0.002291
509.2,0.002234
510.1,0.002931
511,0.002701
511.9,0.002215
512.8,0.001398
513.7,0.001587
514.6,0.002304
515.4,0.001817
516.3,0.00214
517.2,0.001363
518.1,0.001872
519,0.00247
519.9,0.001728
520.8,0.002161
521.6,0.001212
522.5,0.000972
523.4,0.0009177
524.3,0.0001469
525.2,0.001102
526.1,0.001046
527,0.001504
527.8,0.0005857
528.7,0.001563
529.6,0.001532
530.5,0.0008623
531.4,0.001551
532.3,0.001506
533.2,0.0001049
534,0.0008194
534.9,0.0009377
535.8,0.001442
536.7,0.0002213
537.6,0.0006944
538.5,0.0006353
539.4,0.002358
540.2,0.0004617
541.1,-5.056E-05
542,0.000786
542.9,0.001098
543.8,0.00152
544.7,0.000186
545.6,0.001151
546.5,0.002084
547.3,0.00218
548.2,0.002062
549.1,0.001096
550,0.0009062
550.9,0.001022
551.8,0.0007679
552.7,0.001173
553.6,0.001213
554.5,0.002027
555.4,0.001332
556.2,0.001773
557.1,0.004195
558,0.002546
558.9,0.002515
559.8,0.002111
560.7,0.001998
561.6,0.002209
562.5,0.003684
563.4,0.001872
564.3,0.003156
565.1,0.003493
566,0.003315
566.9,0.003278
567.8,0.003192
568.7,0.004878
569.6,0.004913
570.5,0.003824
571.4,0.005019
572.3,0.005088
573.2,0.005822
574,0.005908
574.9,0.005622
