Begin Header
Date,01/04/2002 17:34:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,170
StartValue,350
EndValue,500
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,2,5
CoolerFilter,False
CoolerTemp,292,3
End Header
nm,Value
350.1,0.3713
351,0.3702
351.9,0.3813
352.8,0.3683
353.7,0.7175
354.5,-0.3637
355.4,0.2141
356.3,0.5282
357.2,0.722
358.1,1.352
358.9,-0.00229
359.8,0.332
360.7,0.3179
361.6,0.0832
362.5,0.6217
363.3,-0.3225
364.2,-0.001527
365.1,7.62
366,0.7575
366.9,0.2782
367.7,-0.9972
368.6,0.2702
369.5,0.5526
370.4,0.2813
371.3,0.411
372.2,0.4797
373,0.769
373.9,0.4316
374.8,0.34
375.7,0.2294
376.6,-0.1156
377.5,0.6606
378.3,0.1011
379.2,-0.001908
380.1,-0.003435
381,-0.3576
381.9,-0.2099
382.7,-0.001527
383.6,-0.0706
384.5,-0.171
385.4,-0.1794
386.3,-0.5515
387.2,-0.4873
388,0.1195
388.9,-0.5717
389.8,-0.08396
390.7,-0.1782
391.6,0.1114
392.5,-0.07709
393.3,-0.4671
394.2,-0.2263
395.1,-0.184
396,0.1469
396.9,0.1401
397.8,-0.001145
398.6,-0.08014
399.5,-0.1294
400.4,-0.001145
401.3,0.2713
402.2,0
403.1,-0.06373
403.9,-0.001145
404.8,2.487
405.7,0.3729
406.6,-0.5034
407.5,0
408.3,0.5087
409.2,-0.1214
410.1,-0.09274
411,-0.1175
411.9,-0.348
412.8,0
413.6,-0.3385
414.5,0.1092
415.4,-0.1691
416.3,-0.08816
417.2,-0.2587
418,-0.1633
418.9,-0.1092
419.8,0.3377
420.7,-0.1645
421.6,0
422.5,-0.06946
423.3,0.01565
424.2,0.245
425.1,-0.2652
426,0
426.9,-0.2168
427.7,-0.3007
428.6,-0.3454
429.5,-0.3095
430.4,-0.004198
431.3,-0.06564
432.2,0.1034
433,0.1027
433.9,0
434.8,0
435.7,9.893
436.6,1.369
437.5,-0.1008
438.3,-0.3
439.2,-0.3023
440.1,-0.3061
441,-0.1072
441.9,-0.3106
442.8,-0.02824
443.7,0.07785
444.5,-0.1023
445.4,-0.319
446.3,0.04427
447.2,0.1042
448.1,0.1034
449,-0.308
449.9,-0.158
450.8,-0.07823
451.6,0.09503
452.5,-0.09999
453.4,0
454.3,0.1027
455.2,-0.05076
456.1,-0.02023
457,-0.09464
457.8,-0.1603
458.7,-0.001145
459.6,-0.01298
460.5,-0.06717
461.4,0.09274
462.3,-0.00229
463.2,0.1515
464,0.09961
464.9,0.0003816
465.8,-0.4961
466.7,0.3148
467.6,0.1137
468.5,0.1298
469.4,0.05038
470.2,0.01794
471.1,0.2477
472,0.04198
472.9,-0.003053
473.8,-0.05381
474.7,-0.1595
475.6,0.2053
476.4,0.1015
477.3,0.1038
478.2,0.3935
479.1,-0.01756
480,0
480.9,0.01259
481.8,-0.3221
482.7,-0.1042
483.5,-0.02748
484.4,0.1599
485.3,-0.05457
486.2,-0.0519
487.1,-0.2462
488,-0.2099
488.9,-0.1046
489.7,-0.1446
490.6,-0.001527
491.5,-0.3183
492.4,-0.05381
493.3,-0.2309
494.2,0.1011
495.1,-0.1034
495.9,-0.006106
496.8,-0.2515
497.7,-0.003053
498.6,-0.2061
499.5,-0.1343
