Begin Header
Date,01/04/2002 18:09:00
X-Label,Nanometers
Y-Label,Arbitrary
NumPoints,51
StartValue,540
EndValue,600
Steps,1
GaussFilter,0
NoiseFilter,True
AmplCorrection,True
DarkCorrection,True
AddCycles,1
Iterations,1
AutoExposure,False
MaxCycleTime,10
ExposureTime,1000
CoolerFilter,False
CoolerTemp,293,4
End Header
nm,Value
540,0.0001574
541.1,0.0009625
542.3,0.0004464
543.5,0.0001898
544.7,0.0006868
545.9,0.0007898
547,0.001202
548.2,0.001015
549.4,0.002015
550.6,0.002576
551.8,0.0027
553,0.001126
554.2,0.001749
555.4,0.003233
556.5,0.3044
557.7,0.08093
558.9,0.003598
560.1,0.002331
561.3,0.001211
562.5,0.0179
563.7,0.001775
564.8,0.008459
566,0.002364
567.2,0.004432
568.4,-0.0005666
569.6,0.0003425
570.8,0.001712
572,0.001453
573.2,0.001445
574.3,0.001129
575.5,0.001766
576.7,0.001487
577.9,0.001503
579.1,0.0009072
580.3,0.0015
581.5,0.001568
582.6,0.007567
583.8,0.003739
585,0.002165
586.2,0.0176
587.4,0.5459
588.6,0.01076
589.8,0.003078
590.9,0.002066
592.1,0.001399
593.3,0.0006992
594.5,0.001753
595.7,0.001476
596.9,0.001278
598.1,0.001617
599.3,0.01702
